resolusi,peningkatan_iic_naif,peningkatan_iic_cost,peningkatan_iic_bridge,headroom_vs_naif_absolut,headroom_vs_naif_persen,headroom_vs_cost_absolut,headroom_vs_cost_persen,headroom_vs_best_greedy_absolut,headroom_vs_best_greedy_persen,planning_headroom_positif_persen
32x64,0.0344458977276484,0.0344458977276484,0.0344458977276484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48x96,0.0226611943560617,0.0296645142265775,0.029993768424592,0.007332574068530301,32.35740338006012,0.0003292541980145017,1.1099261410440056,0.0003292541980145017,1.1099261410440056,1.1099261410440056
64x128,0.018390765625979,0.0278366771763943,0.0267652902351743,0.0083745246091953,45.536574058479395,-0.0010713869412199983,-3.8488320083279985,-0.0010713869412199983,-3.8488320083279985,0.0
